Data,Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM2.5 [jednostka ug/m3]),Katowice - ul. Kossutha (pył zawieszony PM10 [jednostka ug/m3])
2024-01-01,39.95,75.52,68.70,36.62,
2024-01-02,18.72,19.60,17.30,10.04,
2024-01-03,10.53,7.58,5.50,6.96,
2024-01-04,7.08,7.39,6.30,5.88,
2024-01-05,28.60,30.95,25.90,25.75,
2024-01-06,33.93,31.07,27.50,42.91,
2024-01-07,21.10,14.27,12.80,21.59,
2024-01-08,30.41,46.14,38.30,43.69,
2024-01-09,53.87,71.45,59.60,63.55,
2024-01-10,132.27,44.18,37.10,124.67,
2024-01-11,76.53,22.09,16.10,77.01,
2024-01-12,23.90,24.77,20.40,28.90,
2024-01-13,17.93,16.28,12.50,27.69,
2024-01-14,18.37,12.20,10.30,21.69,
2024-01-15,19.31,10.50,6.80,16.07,
2024-01-16,-,20.67,14.10,22.42,
2024-01-17,-,43.56,37.30,46.27,
2024-01-18,-,50.86,42.50,31.30,
2024-01-19,27.24,20.30,15.20,31.94,
2024-01-20,32.91,16.36,11.80,28.11,
2024-01-21,53.40,47.65,37.10,35.98,
2024-01-22,64.35,38.59,30.80,19.13,
2024-01-23,21.34,20.97,15.70,27.94,
2024-01-24,13.02,19.42,16.90,9.02,
2024-01-25,12.21,9.08,8.30,9.07,
2024-01-26,26.79,10.63,10.30,14.15,
2024-01-27,12.84,11.32,6.40,13.83,
2024-01-28,29.61,22.01,19.20,27.42,
2024-01-29,43.92,42.68,36.30,53.62,
2024-01-30,91.33,53.33,45.60,24.54,
2024-01-31,77.19,56.88,51.70,37.35,
2024-02-01,56.32,26.03,22.90,33.13,
2024-02-02,37.63,17.74,12.60,15.72,
2024-02-03,17.09,12.54,11.80,14.36,
2024-02-04,7.67,7.22,7.20,8.04,
2024-02-05,14.09,9.94,9.60,7.99,
2024-02-06,30.15,-,8.80,13.32,
2024-02-07,23.14,-,5.90,10.36,
2024-02-08,22.43,32.40,26.70,25.19,
2024-02-09,39.81,35.10,23.60,30.49,
2024-02-10,48.98,35.88,23.50,30.61,
2024-02-11,33.71,21.20,14.30,26.38,
2024-02-12,36.90,28.05,21.50,15.64,
2024-02-13,41.05,15.35,12.70,28.26,
2024-02-14,58.98,30.86,21.40,35.43,
2024-02-15,75.07,26.82,25.40,22.19,
2024-02-16,85.77,28.46,23.70,27.48,
2024-02-17,52.02,23.03,17.00,22.21,
2024-02-18,20.62,24.12,17.60,19.67,
2024-02-19,40.17,41.47,33.60,22.52,
2024-02-20,13.60,8.12,5.10,14.64,
2024-02-21,29.59,12.40,10.30,17.15,
2024-02-22,45.22,14.07,8.10,13.36,
2024-02-23,17.82,10.36,8.50,13.52,
2024-02-24,36.43,16.55,9.10,18.01,
2024-02-25,50.48,10.47,6.10,26.85,
2024-02-26,68.94,13.75,9.20,41.23,
2024-02-27,95.67,15.28,10.10,46.85,
2024-02-28,-,49.12,38.60,64.85,
2024-02-29,-,57.91,42.40,40.16,
2024-03-01,-,33.07,17.60,66.54,
2024-03-02,105.99,29.01,20.20,50.18,
2024-03-03,72.17,24.74,15.90,33.66,
2024-03-04,77.78,24.96,14.00,38.19,
2024-03-05,43.97,28.49,17.80,36.38,
2024-03-06,41.37,22.32,19.90,39.10,
2024-03-07,50.43,17.56,15.80,39.72,
2024-03-08,63.12,42.02,34.60,47.28,
2024-03-09,69.57,40.27,27.30,41.88,
2024-03-10,40.87,14.94,10.40,24.36,
2024-03-11,30.88,25.39,19.50,27.57,
2024-03-12,38.97,19.34,17.10,32.87,
2024-03-13,31.36,12.17,9.90,34.42,
2024-03-14,62.80,29.03,22.30,48.17,
2024-03-15,64.20,33.23,20.00,33.43,
2024-03-16,42.97,28.29,17.50,17.62,
2024-03-17,14.54,15.05,8.00,9.37,
2024-03-18,21.57,15.91,8.30,17.49,
2024-03-19,34.46,27.25,14.00,33.68,
2024-03-20,71.62,32.92,14.30,56.36,
2024-03-21,92.42,23.04,11.70,64.04,
2024-03-22,70.10,29.23,18.50,27.68,
2024-03-23,54.18,18.18,8.80,19.92,
2024-03-24,20.60,11.35,5.70,12.10,
2024-03-25,17.68,12.55,8.10,14.10,
2024-03-26,38.17,10.92,4.90,27.23,
2024-03-27,35.95,12.31,5.60,14.28,
2024-03-28,48.35,24.88,10.10,17.41,
2024-03-29,21.23,6.17,3.50,6.91,
2024-03-30,105.79,79.10,22.50,85.49,
2024-03-31,128.61,74.75,24.70,100.61,
2024-04-01,167.58,128.22,36.70,102.07,
2024-04-02,12.58,11.54,6.90,8.11,
2024-04-03,16.73,6.85,3.90,7.22,
2024-04-04,21.26,9.94,6.30,8.74,
2024-04-05,21.90,10.36,6.50,7.65,
2024-04-06,26.79,13.75,10.10,12.07,
2024-04-07,33.71,12.36,7.00,19.73,
2024-04-08,41.30,14.12,6.90,17.79,
2024-04-09,70.71,24.85,11.90,23.38,
2024-04-10,44.17,22.62,13.00,20.98,
2024-04-11,35.57,27.89,18.20,28.38,
2024-04-12,43.44,17.69,11.80,27.30,
2024-04-13,40.34,17.39,8.90,24.64,
2024-04-14,38.30,17.39,6.60,19.27,
2024-04-15,29.00,20.17,9.40,20.70,
2024-04-16,21.54,8.27,4.70,10.55,
2024-04-17,22.29,18.60,12.70,16.27,
2024-04-18,25.24,13.95,9.60,25.30,
2024-04-19,22.38,13.73,6.90,14.88,
2024-04-20,6.93,9.65,5.30,7.32,
2024-04-21,10.77,7.67,6.00,20.59,
2024-04-22,18.46,13.19,9.50,18.65,
2024-04-23,33.21,17.72,10.50,34.29,
2024-04-24,36.00,14.14,12.40,34.79,
2024-04-25,29.63,12.40,8.70,20.91,
2024-04-26,36.60,12.04,7.90,20.25,
2024-04-27,34.58,14.33,9.40,17.18,
2024-04-28,30.03,13.30,7.40,18.07,
2024-04-29,40.29,20.48,9.60,18.48,
2024-04-30,37.97,15.47,6.90,23.13,
2024-05-01,29.55,14.20,4.80,21.39,
2024-05-02,27.99,13.66,3.10,18.23,
2024-05-03,26.85,20.11,7.80,14.51,
2024-05-04,31.43,24.18,10.90,21.87,
2024-05-05,29.16,21.62,10.90,17.88,
2024-05-06,26.98,16.10,8.80,10.72,
2024-05-07,20.22,12.39,9.50,12.31,
2024-05-08,24.73,13.52,7.60,13.93,
2024-05-09,34.80,16.44,10.00,20.75,
2024-05-10,33.25,23.04,12.00,25.08,
2024-05-11,28.68,15.34,10.50,19.78,
2024-05-12,17.80,11.62,7.80,-,
2024-05-13,25.99,10.07,6.00,-,
2024-05-14,30.38,13.20,7.80,-,
2024-05-15,33.09,16.66,8.90,-,
2024-05-16,35.24,13.88,8.00,-,
2024-05-17,36.51,12.80,9.30,-,
2024-05-18,17.85,12.85,8.60,-,
2024-05-19,16.16,11.61,8.00,-,
2024-05-20,22.88,13.55,10.50,-,
2024-05-21,31.47,16.61,7.30,-,
2024-05-22,28.77,14.40,10.70,-,
2024-05-23,23.78,10.08,9.30,-,
2024-05-24,30.00,12.02,8.90,-,
2024-05-25,19.18,13.53,9.10,-,
2024-05-26,19.37,15.10,11.20,-,
2024-05-27,27.12,15.08,10.40,-,
2024-05-28,32.02,16.58,8.80,-,
2024-05-29,28.00,19.54,13.40,-,
2024-05-30,29.52,20.55,11.60,-,
2024-05-31,25.66,14.53,9.10,-,
2024-06-01,15.18,9.10,5.20,12.32,
2024-06-02,13.63,7.37,5.30,11.97,
2024-06-03,24.60,13.51,8.80,26.79,
2024-06-04,17.59,9.12,6.00,28.08,
2024-06-05,30.14,11.45,6.40,23.72,
2024-06-06,25.28,13.83,9.80,19.72,
2024-06-07,16.88,11.96,9.20,17.02,
2024-06-08,23.09,15.84,8.90,19.97,
2024-06-09,20.06,11.65,8.80,18.99,
2024-06-10,24.75,17.24,10.10,28.05,
2024-06-11,27.98,16.55,11.20,26.26,
2024-06-12,18.46,14.50,8.80,11.87,
2024-06-13,20.52,11.72,9.80,17.26,
2024-06-14,19.03,12.51,8.70,22.17,
2024-06-15,19.20,16.00,10.40,15.35,
2024-06-16,21.41,15.47,13.40,16.36,
2024-06-17,17.38,11.85,7.30,13.72,
2024-06-18,22.86,14.20,9.60,15.11,
2024-06-19,25.36,19.37,13.00,24.05,
2024-06-20,15.39,11.38,9.20,12.00,
2024-06-21,31.55,34.25,16.30,26.72,
2024-06-22,22.57,32.16,15.50,16.79,
2024-06-23,14.65,13.57,9.50,15.02,
2024-06-24,19.15,16.35,10.00,20.05,
2024-06-25,20.35,13.46,7.80,18.64,
2024-06-26,28.31,19.14,10.30,22.60,
2024-06-27,30.39,22.57,11.50,28.40,
2024-06-28,27.04,20.75,10.80,24.96,
2024-06-29,27.30,23.92,14.60,23.12,
2024-06-30,27.77,27.38,13.20,-,
2024-07-01,21.60,12.52,8.50,-,
